trade,day,work_order_id,var_name,manhours_scaled,max_manhours_scaled,solver_value,contribution_scaled,solver_status
NC-E/I,monday,1446203,x_1446203_NC-E/I_monday,8,48,0,0,OPTIMAL
NC-E/I,monday,1446204,x_1446204_NC-E/I_monday,16,48,0,0,OPTIMAL
NC-E/I,monday,1449857,x_1449857_NC-E/I_monday,8,48,0,0,OPTIMAL
NC-E/I,monday,1435167,x_1435167_NC-E/I_monday,32,48,0,0,OPTIMAL
NC-E/I,monday,1420764,x_1420764_NC-E/I_monday,24,48,0,0,OPTIMAL
NC-E/I,monday,1433738,x_1433738_NC-E/I_monday,4,48,0,0,OPTIMAL
NC-E/I,monday,1440685,x_1440685_NC-E/I_monday,40,48,0,0,OPTIMAL
NC-E/I,monday,1444005,x_1444005_NC-E/I_monday,8,48,0,0,OPTIMAL
NC-E/I,monday,1434969,x_1434969_NC-E/I_monday,24,48,0,0,OPTIMAL
NC-E/I,monday,1447506,x_1447506_NC-E/I_monday,8,48,0,0,OPTIMAL
NC-E/I,monday,1436320,x_1436320_NC-E/I_monday,6,48,0,0,OPTIMAL
NC-E/I,monday,1387468,x_1387468_NC-E/I_monday,8,48,0,0,OPTIMAL
NC-E/I,monday,1448794,x_1448794_NC-E/I_monday,1,48,0,0,OPTIMAL
NC-E/I,monday,1448845,x_1448845_NC-E/I_monday,4,48,0,0,OPTIMAL
NC-E/I,monday,1378310,x_1378310_NC-E/I_monday,8,48,0,0,OPTIMAL
NC-E/I,monday,1442317,x_1442317_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1442366,x_1442366_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1437923,x_1437923_NC-E/I_monday,4,48,0,0,OPTIMAL
NC-E/I,monday,1437921,x_1437921_NC-E/I_monday,16,48,0,0,OPTIMAL
NC-E/I,monday,1437924,x_1437924_NC-E/I_monday,16,48,0,0,OPTIMAL
NC-E/I,monday,1437926,x_1437926_NC-E/I_monday,4,48,0,0,OPTIMAL
NC-E/I,monday,1449071,x_1449071_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1449070,x_1449070_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1449076,x_1449076_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1449077,x_1449077_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1449016,x_1449016_NC-E/I_monday,1,48,0,0,OPTIMAL
NC-E/I,monday,1449032,x_1449032_NC-E/I_monday,1,48,0,0,OPTIMAL
NC-E/I,monday,1449033,x_1449033_NC-E/I_monday,1,48,0,0,OPTIMAL
NC-E/I,monday,1449034,x_1449034_NC-E/I_monday,1,48,0,0,OPTIMAL
NC-E/I,monday,1449040,x_1449040_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1449041,x_1449041_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1449045,x_1449045_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1449044,x_1449044_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1449048,x_1449048_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1449049,x_1449049_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1449052,x_1449052_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1449053,x_1449053_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1449056,x_1449056_NC-E/I_monday,2,48,1,2,OPTIMAL
NC-E/I,monday,1449057,x_1449057_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1449063,x_1449063_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1449061,x_1449061_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1448922,x_1448922_NC-E/I_monday,64,48,0,0,OPTIMAL
NC-E/I,monday,1448923,x_1448923_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1448928,x_1448928_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1448880,x_1448880_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1448913,x_1448913_NC-E/I_monday,2,48,0,0,OPTIMAL
