work_order_id,trade,day,var_name,solver_value,solver_status
1442845,NC-MECHANIC EXE,wednesday,x_1442845_NC-MECHANIC EXE_wednesday,0,OPTIMAL
1442846,NC-MECHANIC EXE,friday,x_1442846_NC-MECHANIC EXE_friday,0,OPTIMAL
1442846,NC-MECHANIC EXE,monday,x_1442846_NC-MECHANIC EXE_monday,0,OPTIMAL
1442846,NC-MECHANIC EXE,thursday,x_1442846_NC-MECHANIC EXE_thursday,0,OPTIMAL
1442846,NC-MECHANIC EXE,tuesday,x_1442846_NC-MECHANIC EXE_tuesday,0,OPTIMAL
1442846,NC-MECHANIC EXE,wednesday,x_1442846_NC-MECHANIC EXE_wednesday,1,OPTIMAL
1442847,NC-MECHANIC EXE,friday,x_1442847_NC-MECHANIC EXE_friday,1,OPTIMAL
1442847,NC-MECHANIC EXE,monday,x_1442847_NC-MECHANIC EXE_monday,0,OPTIMAL
1442847,NC-MECHANIC EXE,thursday,x_1442847_NC-MECHANIC EXE_thursday,0,OPTIMAL
1442847,NC-MECHANIC EXE,tuesday,x_1442847_NC-MECHANIC EXE_tuesday,0,OPTIMAL
1442847,NC-MECHANIC EXE,wednesday,x_1442847_NC-MECHANIC EXE_wednesday,0,OPTIMAL
1442871,NC-E/I,friday,x_1442871_NC-E/I_friday,0,OPTIMAL
1442871,NC-E/I,monday,x_1442871_NC-E/I_monday,0,OPTIMAL
1442871,NC-E/I,saturday,x_1442871_NC-E/I_saturday,0,OPTIMAL
1442871,NC-E/I,sunday,x_1442871_NC-E/I_sunday,0,OPTIMAL
1442871,NC-E/I,thursday,x_1442871_NC-E/I_thursday,0,OPTIMAL
1442871,NC-E/I,tuesday,x_1442871_NC-E/I_tuesday,0,OPTIMAL
1442871,NC-E/I,wednesday,x_1442871_NC-E/I_wednesday,1,OPTIMAL
1442882,NC-REBUILD,friday,x_1442882_NC-REBUILD_friday,0,OPTIMAL
1442882,NC-REBUILD,monday,x_1442882_NC-REBUILD_monday,0,OPTIMAL
1442882,NC-REBUILD,thursday,x_1442882_NC-REBUILD_thursday,0,OPTIMAL
1442882,NC-REBUILD,tuesday,x_1442882_NC-REBUILD_tuesday,1,OPTIMAL
1442882,NC-REBUILD,wednesday,x_1442882_NC-REBUILD_wednesday,0,OPTIMAL
1442883,NC-REBUILD,friday,x_1442883_NC-REBUILD_friday,0,OPTIMAL
1442883,NC-REBUILD,monday,x_1442883_NC-REBUILD_monday,0,OPTIMAL
1442883,NC-REBUILD,thursday,x_1442883_NC-REBUILD_thursday,0,OPTIMAL
1442883,NC-REBUILD,tuesday,x_1442883_NC-REBUILD_tuesday,0,OPTIMAL
1442883,NC-REBUILD,wednesday,x_1442883_NC-REBUILD_wednesday,1,OPTIMAL
1442901,NC-E/I,friday,x_1442901_NC-E/I_friday,0,OPTIMAL
1442901,NC-E/I,monday,x_1442901_NC-E/I_monday,0,OPTIMAL
1442901,NC-E/I,saturday,x_1442901_NC-E/I_saturday,0,OPTIMAL
1442901,NC-E/I,sunday,x_1442901_NC-E/I_sunday,0,OPTIMAL
1442901,NC-E/I,thursday,x_1442901_NC-E/I_thursday,0,OPTIMAL
1442901,NC-E/I,tuesday,x_1442901_NC-E/I_tuesday,1,OPTIMAL
1442901,NC-E/I,wednesday,x_1442901_NC-E/I_wednesday,0,OPTIMAL
1442916,NC-LUBRICATOR,friday,x_1442916_NC-LUBRICATOR_friday,0,OPTIMAL
1442916,NC-LUBRICATOR,monday,x_1442916_NC-LUBRICATOR_monday,0,OPTIMAL
1442916,NC-LUBRICATOR,thursday,x_1442916_NC-LUBRICATOR_thursday,0,OPTIMAL
1442916,NC-LUBRICATOR,tuesday,x_1442916_NC-LUBRICATOR_tuesday,0,OPTIMAL
1442916,NC-LUBRICATOR,wednesday,x_1442916_NC-LUBRICATOR_wednesday,0,OPTIMAL
1442948,NC-EQUIPMENT,friday,x_1442948_NC-EQUIPMENT_friday,0,OPTIMAL
1442948,NC-EQUIPMENT,monday,x_1442948_NC-EQUIPMENT_monday,0,OPTIMAL
1442948,NC-EQUIPMENT,thursday,x_1442948_NC-EQUIPMENT_thursday,0,OPTIMAL
1442948,NC-EQUIPMENT,tuesday,x_1442948_NC-EQUIPMENT_tuesday,1,OPTIMAL
1442948,NC-EQUIPMENT,wednesday,x_1442948_NC-EQUIPMENT_wednesday,0,OPTIMAL
1442950,NC-E/I,friday,x_1442950_NC-E/I_friday,0,OPTIMAL
1442950,NC-E/I,monday,x_1442950_NC-E/I_monday,1,OPTIMAL
1442950,NC-E/I,saturday,x_1442950_NC-E/I_saturday,0,OPTIMAL
1442950,NC-E/I,sunday,x_1442950_NC-E/I_sunday,0,OPTIMAL
1442950,NC-E/I,thursday,x_1442950_NC-E/I_thursday,0,OPTIMAL
1442950,NC-E/I,tuesday,x_1442950_NC-E/I_tuesday,0,OPTIMAL
1442950,NC-E/I,wednesday,x_1442950_NC-E/I_wednesday,0,OPTIMAL
1442969,NC-E/I,friday,x_1442969_NC-E/I_friday,0,OPTIMAL
1442969,NC-E/I,monday,x_1442969_NC-E/I_monday,0,OPTIMAL
1442969,NC-E/I,saturday,x_1442969_NC-E/I_saturday,0,OPTIMAL
1442969,NC-E/I,sunday,x_1442969_NC-E/I_sunday,0,OPTIMAL
1442969,NC-E/I,thursday,x_1442969_NC-E/I_thursday,1,OPTIMAL
1442969,NC-E/I,tuesday,x_1442969_NC-E/I_tuesday,0,OPTIMAL
1442969,NC-E/I,wednesday,x_1442969_NC-E/I_wednesday,0,OPTIMAL
1443005,NC-MECHANIC EXE,friday,x_1443005_NC-MECHANIC EXE_friday,0,OPTIMAL
1443005,NC-MECHANIC EXE,monday,x_1443005_NC-MECHANIC EXE_monday,0,OPTIMAL
1443005,NC-MECHANIC EXE,thursday,x_1443005_NC-MECHANIC EXE_thursday,0,OPTIMAL
1443005,NC-MECHANIC EXE,tuesday,x_1443005_NC-MECHANIC EXE_tuesday,0,OPTIMAL
1443005,NC-MECHANIC EXE,wednesday,x_1443005_NC-MECHANIC EXE_wednesday,0,OPTIMAL
1443872,NC-EQUIPMENT,friday,x_1443872_NC-EQUIPMENT_friday,0,OPTIMAL
1443872,NC-EQUIPMENT,monday,x_1443872_NC-EQUIPMENT_monday,1,OPTIMAL
1443872,NC-EQUIPMENT,thursday,x_1443872_NC-EQUIPMENT_thursday,0,OPTIMAL
1443872,NC-EQUIPMENT,tuesday,x_1443872_NC-EQUIPMENT_tuesday,0,OPTIMAL
1443872,NC-EQUIPMENT,wednesday,x_1443872_NC-EQUIPMENT_wednesday,0,OPTIMAL
1444005,NC-E/I,friday,x_1444005_NC-E/I_friday,0,OPTIMAL
1444005,NC-E/I,monday,x_1444005_NC-E/I_monday,0,OPTIMAL
1444005,NC-E/I,saturday,x_1444005_NC-E/I_saturday,0,OPTIMAL
1444005,NC-E/I,sunday,x_1444005_NC-E/I_sunday,0,OPTIMAL
1444005,NC-E/I,thursday,x_1444005_NC-E/I_thursday,0,OPTIMAL
1444005,NC-E/I,tuesday,x_1444005_NC-E/I_tuesday,1,OPTIMAL
1444005,NC-E/I,wednesday,x_1444005_NC-E/I_wednesday,0,OPTIMAL
1444006,NC-EQUIPMENT,friday,x_1444006_NC-EQUIPMENT_friday,0,OPTIMAL
1444006,NC-EQUIPMENT,monday,x_1444006_NC-EQUIPMENT_monday,0,OPTIMAL
1444006,NC-EQUIPMENT,thursday,x_1444006_NC-EQUIPMENT_thursday,0,OPTIMAL
1444006,NC-EQUIPMENT,tuesday,x_1444006_NC-EQUIPMENT_tuesday,0,OPTIMAL
1444006,NC-EQUIPMENT,wednesday,x_1444006_NC-EQUIPMENT_wednesday,1,OPTIMAL
1444517,NC-LUBRICATOR,friday,x_1444517_NC-LUBRICATOR_friday,0,OPTIMAL
1444517,NC-LUBRICATOR,monday,x_1444517_NC-LUBRICATOR_monday,0,OPTIMAL
1444517,NC-LUBRICATOR,thursday,x_1444517_NC-LUBRICATOR_thursday,0,OPTIMAL
1444517,NC-LUBRICATOR,tuesday,x_1444517_NC-LUBRICATOR_tuesday,0,OPTIMAL
1444517,NC-LUBRICATOR,wednesday,x_1444517_NC-LUBRICATOR_wednesday,0,OPTIMAL
1444528,NC-MECHANIC EXE,friday,x_1444528_NC-MECHANIC EXE_friday,0,OPTIMAL
1444528,NC-MECHANIC EXE,monday,x_1444528_NC-MECHANIC EXE_monday,0,OPTIMAL
1444528,NC-MECHANIC EXE,thursday,x_1444528_NC-MECHANIC EXE_thursday,0,OPTIMAL
1444528,NC-MECHANIC EXE,tuesday,x_1444528_NC-MECHANIC EXE_tuesday,0,OPTIMAL
1444528,NC-MECHANIC EXE,wednesday,x_1444528_NC-MECHANIC EXE_wednesday,0,OPTIMAL
